x,y,z,time,label
-1,-1,-1,0,start_single_loop_kernel_0
0,0,0,0,single_loop_kernel_start_0
1,0,0,0,single_loop_kernel_start_0
2,0,0,0,single_loop_kernel_start_0
3,0,0,0,single_loop_kernel_start_0
8,0,0,0,single_loop_kernel_start_0
9,0,0,0,single_loop_kernel_start_0
10,0,0,0,single_loop_kernel_start_0
11,0,0,0,single_loop_kernel_start_0
4,0,0,0,single_loop_kernel_start_0
5,0,0,0,single_loop_kernel_start_0
6,0,0,0,single_loop_kernel_start_0
7,0,0,0,single_loop_kernel_start_0
12,0,0,0,single_loop_kernel_start_0
13,0,0,0,single_loop_kernel_start_0
14,0,0,0,single_loop_kernel_start_0
15,0,0,0,single_loop_kernel_start_0
16,0,0,0,single_loop_kernel_start_0
17,0,0,0,single_loop_kernel_start_0
18,0,0,0,single_loop_kernel_start_0
19,0,0,0,single_loop_kernel_start_0
24,0,0,0,single_loop_kernel_start_0
25,0,0,0,single_loop_kernel_start_0
26,0,0,0,single_loop_kernel_start_0
27,0,0,0,single_loop_kernel_start_0
20,0,0,0,single_loop_kernel_start_0
21,0,0,0,single_loop_kernel_start_0
22,0,0,0,single_loop_kernel_start_0
23,0,0,0,single_loop_kernel_start_0
28,0,0,0,single_loop_kernel_start_0
29,0,0,0,single_loop_kernel_start_0
30,0,0,0,single_loop_kernel_start_0
31,0,0,0,single_loop_kernel_start_0
2,0,0,127,single_loop_kernel_switch_0
10,0,0,127,single_loop_kernel_switch_0
6,0,0,127,single_loop_kernel_switch_0
14,0,0,127,single_loop_kernel_switch_0
18,0,0,127,single_loop_kernel_switch_0
26,0,0,127,single_loop_kernel_switch_0
22,0,0,127,single_loop_kernel_switch_0
30,0,0,127,single_loop_kernel_switch_0
3,0,0,297,single_loop_kernel_switch_0
11,0,0,297,single_loop_kernel_switch_0
7,0,0,297,single_loop_kernel_switch_0
15,0,0,297,single_loop_kernel_switch_0
19,0,0,297,single_loop_kernel_switch_0
27,0,0,297,single_loop_kernel_switch_0
23,0,0,297,single_loop_kernel_switch_0
31,0,0,297,single_loop_kernel_switch_0
0,0,0,340,single_loop_kernel_switch_0
8,0,0,340,single_loop_kernel_switch_0
4,0,0,340,single_loop_kernel_switch_0
12,0,0,340,single_loop_kernel_switch_0
16,0,0,340,single_loop_kernel_switch_0
24,0,0,340,single_loop_kernel_switch_0
20,0,0,340,single_loop_kernel_switch_0
28,0,0,340,single_loop_kernel_switch_0
1,0,0,425,single_loop_kernel_switch_0
9,0,0,425,single_loop_kernel_switch_0
5,0,0,425,single_loop_kernel_switch_0
13,0,0,425,single_loop_kernel_switch_0
17,0,0,425,single_loop_kernel_switch_0
25,0,0,425,single_loop_kernel_switch_0
21,0,0,425,single_loop_kernel_switch_0
29,0,0,425,single_loop_kernel_switch_0
-1,-1,-1,425,end_single_loop_kernel_0
