x,y,z,time,label
-1,-1,-1,0,start_delay_kernel_0
928,0,0,3921,delay_kernel_start_0
896,0,0,3921,delay_kernel_start_0
672,0,0,3921,delay_kernel_start_0
640,0,0,3921,delay_kernel_start_0
384,0,0,3921,delay_kernel_start_0
929,0,0,3921,delay_kernel_start_0
416,0,0,3921,delay_kernel_start_0
512,0,0,3921,delay_kernel_start_0
480,0,0,3921,delay_kernel_start_0
864,0,0,3921,delay_kernel_start_0
448,0,0,3921,delay_kernel_start_0
897,0,0,3921,delay_kernel_start_0
673,0,0,3921,delay_kernel_start_0
641,0,0,3921,delay_kernel_start_0
385,0,0,3921,delay_kernel_start_0
930,0,0,3921,delay_kernel_start_0
417,0,0,3921,delay_kernel_start_0
513,0,0,3921,delay_kernel_start_0
481,0,0,3921,delay_kernel_start_0
865,0,0,3921,delay_kernel_start_0
449,0,0,3921,delay_kernel_start_0
898,0,0,3921,delay_kernel_start_0
674,0,0,3921,delay_kernel_start_0
642,0,0,3921,delay_kernel_start_0
386,0,0,3921,delay_kernel_start_0
931,0,0,3921,delay_kernel_start_0
418,0,0,3921,delay_kernel_start_0
514,0,0,3921,delay_kernel_start_0
482,0,0,3921,delay_kernel_start_0
866,0,0,3921,delay_kernel_start_0
450,0,0,3921,delay_kernel_start_0
899,0,0,3921,delay_kernel_start_0
675,0,0,3921,delay_kernel_start_0
643,0,0,3921,delay_kernel_start_0
387,0,0,3921,delay_kernel_start_0
936,0,0,3921,delay_kernel_start_0
419,0,0,3921,delay_kernel_start_0
515,0,0,3921,delay_kernel_start_0
483,0,0,3921,delay_kernel_start_0
867,0,0,3921,delay_kernel_start_0
451,0,0,3921,delay_kernel_start_0
904,0,0,3921,delay_kernel_start_0
680,0,0,3921,delay_kernel_start_0
648,0,0,3921,delay_kernel_start_0
392,0,0,3921,delay_kernel_start_0
937,0,0,3921,delay_kernel_start_0
424,0,0,3921,delay_kernel_start_0
520,0,0,3921,delay_kernel_start_0
488,0,0,3921,delay_kernel_start_0
872,0,0,3921,delay_kernel_start_0
456,0,0,3921,delay_kernel_start_0
905,0,0,3921,delay_kernel_start_0
681,0,0,3921,delay_kernel_start_0
649,0,0,3921,delay_kernel_start_0
393,0,0,3921,delay_kernel_start_0
938,0,0,3921,delay_kernel_start_0
425,0,0,3921,delay_kernel_start_0
521,0,0,3921,delay_kernel_start_0
489,0,0,3921,delay_kernel_start_0
873,0,0,3921,delay_kernel_start_0
457,0,0,3921,delay_kernel_start_0
906,0,0,3921,delay_kernel_start_0
682,0,0,3921,delay_kernel_start_0
650,0,0,3921,delay_kernel_start_0
394,0,0,3921,delay_kernel_start_0
939,0,0,3921,delay_kernel_start_0
426,0,0,3921,delay_kernel_start_0
522,0,0,3921,delay_kernel_start_0
490,0,0,3921,delay_kernel_start_0
874,0,0,3921,delay_kernel_start_0
458,0,0,3921,delay_kernel_start_0
907,0,0,3921,delay_kernel_start_0
683,0,0,3921,delay_kernel_start_0
651,0,0,3921,delay_kernel_start_0
395,0,0,3921,delay_kernel_start_0
932,0,0,3921,delay_kernel_start_0
427,0,0,3921,delay_kernel_start_0
523,0,0,3921,delay_kernel_start_0
491,0,0,3921,delay_kernel_start_0
875,0,0,3921,delay_kernel_start_0
459,0,0,3921,delay_kernel_start_0
900,0,0,3921,delay_kernel_start_0
676,0,0,3921,delay_kernel_start_0
644,0,0,3921,delay_kernel_start_0
388,0,0,3921,delay_kernel_start_0
933,0,0,3921,delay_kernel_start_0
420,0,0,3921,delay_kernel_start_0
516,0,0,3921,delay_kernel_start_0
484,0,0,3921,delay_kernel_start_0
868,0,0,3921,delay_kernel_start_0
452,0,0,3921,delay_kernel_start_0
901,0,0,3921,delay_kernel_start_0
677,0,0,3921,delay_kernel_start_0
645,0,0,3921,delay_kernel_start_0
389,0,0,3921,delay_kernel_start_0
934,0,0,3921,delay_kernel_start_0
421,0,0,3921,delay_kernel_start_0
517,0,0,3921,delay_kernel_start_0
485,0,0,3921,delay_kernel_start_0
869,0,0,3921,delay_kernel_start_0
453,0,0,3921,delay_kernel_start_0
902,0,0,3921,delay_kernel_start_0
678,0,0,3921,delay_kernel_start_0
646,0,0,3921,delay_kernel_start_0
390,0,0,3921,delay_kernel_start_0
935,0,0,3921,delay_kernel_start_0
422,0,0,3921,delay_kernel_start_0
518,0,0,3921,delay_kernel_start_0
486,0,0,3921,delay_kernel_start_0
870,0,0,3921,delay_kernel_start_0
454,0,0,3921,delay_kernel_start_0
903,0,0,3921,delay_kernel_start_0
679,0,0,3921,delay_kernel_start_0
647,0,0,3921,delay_kernel_start_0
391,0,0,3921,delay_kernel_start_0
940,0,0,3921,delay_kernel_start_0
423,0,0,3921,delay_kernel_start_0
519,0,0,3921,delay_kernel_start_0
487,0,0,3921,delay_kernel_start_0
871,0,0,3921,delay_kernel_start_0
455,0,0,3921,delay_kernel_start_0
908,0,0,3921,delay_kernel_start_0
684,0,0,3921,delay_kernel_start_0
652,0,0,3921,delay_kernel_start_0
396,0,0,3921,delay_kernel_start_0
941,0,0,3921,delay_kernel_start_0
428,0,0,3921,delay_kernel_start_0
524,0,0,3921,delay_kernel_start_0
492,0,0,3921,delay_kernel_start_0
876,0,0,3921,delay_kernel_start_0
460,0,0,3921,delay_kernel_start_0
909,0,0,3921,delay_kernel_start_0
685,0,0,3921,delay_kernel_start_0
653,0,0,3921,delay_kernel_start_0
397,0,0,3921,delay_kernel_start_0
942,0,0,3921,delay_kernel_start_0
429,0,0,3921,delay_kernel_start_0
525,0,0,3921,delay_kernel_start_0
493,0,0,3921,delay_kernel_start_0
877,0,0,3921,delay_kernel_start_0
461,0,0,3921,delay_kernel_start_0
910,0,0,3921,delay_kernel_start_0
686,0,0,3921,delay_kernel_start_0
654,0,0,3921,delay_kernel_start_0
398,0,0,3921,delay_kernel_start_0
943,0,0,3921,delay_kernel_start_0
430,0,0,3921,delay_kernel_start_0
526,0,0,3921,delay_kernel_start_0
494,0,0,3921,delay_kernel_start_0
878,0,0,3921,delay_kernel_start_0
462,0,0,3921,delay_kernel_start_0
