x,y,z,time,label
-1,-1,-1,0,start_delay_kernel_0
128,0,0,0,delay_kernel_start_0
0,0,0,0,delay_kernel_start_0
129,0,0,0,delay_kernel_start_0
1,0,0,0,delay_kernel_start_0
192,0,0,0,delay_kernel_start_0
64,0,0,0,delay_kernel_start_0
130,0,0,0,delay_kernel_start_0
2,0,0,0,delay_kernel_start_0
193,0,0,0,delay_kernel_start_0
65,0,0,0,delay_kernel_start_0
131,0,0,0,delay_kernel_start_0
3,0,0,0,delay_kernel_start_0
194,0,0,0,delay_kernel_start_0
66,0,0,0,delay_kernel_start_0
136,0,0,0,delay_kernel_start_0
8,0,0,0,delay_kernel_start_0
195,0,0,0,delay_kernel_start_0
67,0,0,0,delay_kernel_start_0
137,0,0,0,delay_kernel_start_0
9,0,0,0,delay_kernel_start_0
200,0,0,0,delay_kernel_start_0
72,0,0,0,delay_kernel_start_0
138,0,0,0,delay_kernel_start_0
10,0,0,0,delay_kernel_start_0
201,0,0,0,delay_kernel_start_0
73,0,0,0,delay_kernel_start_0
139,0,0,0,delay_kernel_start_0
11,0,0,0,delay_kernel_start_0
202,0,0,0,delay_kernel_start_0
74,0,0,0,delay_kernel_start_0
132,0,0,0,delay_kernel_start_0
4,0,0,0,delay_kernel_start_0
203,0,0,0,delay_kernel_start_0
75,0,0,0,delay_kernel_start_0
133,0,0,0,delay_kernel_start_0
5,0,0,0,delay_kernel_start_0
196,0,0,0,delay_kernel_start_0
68,0,0,0,delay_kernel_start_0
134,0,0,0,delay_kernel_start_0
6,0,0,0,delay_kernel_start_0
197,0,0,0,delay_kernel_start_0
69,0,0,0,delay_kernel_start_0
135,0,0,0,delay_kernel_start_0
7,0,0,0,delay_kernel_start_0
198,0,0,0,delay_kernel_start_0
70,0,0,0,delay_kernel_start_0
140,0,0,0,delay_kernel_start_0
12,0,0,0,delay_kernel_start_0
199,0,0,0,delay_kernel_start_0
71,0,0,0,delay_kernel_start_0
141,0,0,0,delay_kernel_start_0
13,0,0,0,delay_kernel_start_0
204,0,0,0,delay_kernel_start_0
76,0,0,0,delay_kernel_start_0
142,0,0,0,delay_kernel_start_0
14,0,0,0,delay_kernel_start_0
205,0,0,0,delay_kernel_start_0
77,0,0,0,delay_kernel_start_0
143,0,0,0,delay_kernel_start_0
15,0,0,0,delay_kernel_start_0
206,0,0,0,delay_kernel_start_0
78,0,0,0,delay_kernel_start_0
144,0,0,0,delay_kernel_start_0
16,0,0,0,delay_kernel_start_0
207,0,0,0,delay_kernel_start_0
79,0,0,0,delay_kernel_start_0
145,0,0,0,delay_kernel_start_0
17,0,0,0,delay_kernel_start_0
208,0,0,0,delay_kernel_start_0
80,0,0,0,delay_kernel_start_0
146,0,0,0,delay_kernel_start_0
18,0,0,0,delay_kernel_start_0
209,0,0,0,delay_kernel_start_0
81,0,0,0,delay_kernel_start_0
147,0,0,0,delay_kernel_start_0
19,0,0,0,delay_kernel_start_0
210,0,0,0,delay_kernel_start_0
82,0,0,0,delay_kernel_start_0
152,0,0,0,delay_kernel_start_0
24,0,0,0,delay_kernel_start_0
211,0,0,0,delay_kernel_start_0
83,0,0,0,delay_kernel_start_0
153,0,0,0,delay_kernel_start_0
25,0,0,0,delay_kernel_start_0
216,0,0,0,delay_kernel_start_0
88,0,0,0,delay_kernel_start_0
154,0,0,0,delay_kernel_start_0
26,0,0,0,delay_kernel_start_0
217,0,0,0,delay_kernel_start_0
89,0,0,0,delay_kernel_start_0
155,0,0,0,delay_kernel_start_0
27,0,0,0,delay_kernel_start_0
218,0,0,0,delay_kernel_start_0
90,0,0,0,delay_kernel_start_0
148,0,0,0,delay_kernel_start_0
20,0,0,0,delay_kernel_start_0
219,0,0,0,delay_kernel_start_0
91,0,0,0,delay_kernel_start_0
149,0,0,0,delay_kernel_start_0
21,0,0,0,delay_kernel_start_0
212,0,0,0,delay_kernel_start_0
84,0,0,0,delay_kernel_start_0
150,0,0,0,delay_kernel_start_0
22,0,0,0,delay_kernel_start_0
213,0,0,0,delay_kernel_start_0
85,0,0,0,delay_kernel_start_0
151,0,0,0,delay_kernel_start_0
23,0,0,0,delay_kernel_start_0
214,0,0,0,delay_kernel_start_0
86,0,0,0,delay_kernel_start_0
156,0,0,0,delay_kernel_start_0
28,0,0,0,delay_kernel_start_0
215,0,0,0,delay_kernel_start_0
87,0,0,0,delay_kernel_start_0
157,0,0,0,delay_kernel_start_0
29,0,0,0,delay_kernel_start_0
220,0,0,0,delay_kernel_start_0
92,0,0,0,delay_kernel_start_0
158,0,0,0,delay_kernel_start_0
