x,y,z,time,label
-1,-1,-1,0,start_des_0
1056,0,0,0,des_start_0
3520,0,0,0,des_start_0
2496,0,0,0,des_start_0
4096,0,0,0,des_start_0
448,0,0,0,des_start_0
1057,0,0,0,des_start_0
3072,0,0,0,des_start_0
2048,0,0,0,des_start_0
4544,0,0,0,des_start_0
449,0,0,0,des_start_0
1058,0,0,0,des_start_0
3521,0,0,0,des_start_0
2497,0,0,0,des_start_0
4097,0,0,0,des_start_0
450,0,0,0,des_start_0
1059,0,0,0,des_start_0
3073,0,0,0,des_start_0
2049,0,0,0,des_start_0
4545,0,0,0,des_start_0
451,0,0,0,des_start_0
1064,0,0,0,des_start_0
3522,0,0,0,des_start_0
2498,0,0,0,des_start_0
4098,0,0,0,des_start_0
0,0,0,0,des_start_0
1065,0,0,0,des_start_0
3074,0,0,0,des_start_0
2050,0,0,0,des_start_0
4546,0,0,0,des_start_0
456,0,0,0,des_start_0
1066,0,0,0,des_start_0
3523,0,0,0,des_start_0
2499,0,0,0,des_start_0
4099,0,0,0,des_start_0
1,0,0,0,des_start_0
1067,0,0,0,des_start_0
3075,0,0,0,des_start_0
2051,0,0,0,des_start_0
4547,0,0,0,des_start_0
457,0,0,0,des_start_0
1060,0,0,0,des_start_0
3528,0,0,0,des_start_0
2504,0,0,0,des_start_0
4104,0,0,0,des_start_0
2,0,0,0,des_start_0
1061,0,0,0,des_start_0
3080,0,0,0,des_start_0
2056,0,0,0,des_start_0
4552,0,0,0,des_start_0
458,0,0,0,des_start_0
1062,0,0,0,des_start_0
3529,0,0,0,des_start_0
2505,0,0,0,des_start_0
4105,0,0,0,des_start_0
3,0,0,0,des_start_0
1472,0,0,0,des_start_0
3081,0,0,0,des_start_0
2057,0,0,0,des_start_0
4553,0,0,0,des_start_0
459,0,0,0,des_start_0
1063,0,0,0,des_start_0
3530,0,0,0,des_start_0
2506,0,0,0,des_start_0
4106,0,0,0,des_start_0
8,0,0,0,des_start_0
1473,0,0,0,des_start_0
3082,0,0,0,des_start_0
2058,0,0,0,des_start_0
4554,0,0,0,des_start_0
452,0,0,0,des_start_0
1068,0,0,0,des_start_0
3531,0,0,0,des_start_0
2507,0,0,0,des_start_0
4107,0,0,0,des_start_0
9,0,0,0,des_start_0
1474,0,0,0,des_start_0
3083,0,0,0,des_start_0
2059,0,0,0,des_start_0
4555,0,0,0,des_start_0
453,0,0,0,des_start_0
1069,0,0,0,des_start_0
3524,0,0,0,des_start_0
2500,0,0,0,des_start_0
4100,0,0,0,des_start_0
10,0,0,0,des_start_0
1475,0,0,0,des_start_0
3076,0,0,0,des_start_0
2052,0,0,0,des_start_0
4548,0,0,0,des_start_0
454,0,0,0,des_start_0
1070,0,0,0,des_start_0
3525,0,0,0,des_start_0
2501,0,0,0,des_start_0
4101,0,0,0,des_start_0
11,0,0,0,des_start_0
1480,0,0,0,des_start_0
3077,0,0,0,des_start_0
2053,0,0,0,des_start_0
4549,0,0,0,des_start_0
455,0,0,0,des_start_0
1071,0,0,0,des_start_0
3526,0,0,0,des_start_0
2502,0,0,0,des_start_0
4102,0,0,0,des_start_0
4,0,0,0,des_start_0
1481,0,0,0,des_start_0
3078,0,0,0,des_start_0
2054,0,0,0,des_start_0
4550,0,0,0,des_start_0
460,0,0,0,des_start_0
1072,0,0,0,des_start_0
3527,0,0,0,des_start_0
2503,0,0,0,des_start_0
4103,0,0,0,des_start_0
5,0,0,0,des_start_0
1482,0,0,0,des_start_0
3079,0,0,0,des_start_0
2055,0,0,0,des_start_0
4551,0,0,0,des_start_0
461,0,0,0,des_start_0
1073,0,0,0,des_start_0
3532,0,0,0,des_start_0
2508,0,0,0,des_start_0
4108,0,0,0,des_start_0
6,0,0,0,des_start_0
1483,0,0,0,des_start_0
3084,0,0,0,des_start_0
2060,0,0,0,des_start_0
4556,0,0,0,des_start_0
462,0,0,0,des_start_0
1074,0,0,0,des_start_0
3533,0,0,0,des_start_0
2509,0,0,0,des_start_0
4109,0,0,0,des_start_0
7,0,0,0,des_start_0
1476,0,0,0,des_start_0
3085,0,0,0,des_start_0
2061,0,0,0,des_start_0
4557,0,0,0,des_start_0
463,0,0,0,des_start_0
1075,0,0,0,des_start_0
3534,0,0,0,des_start_0
2510,0,0,0,des_start_0
4110,0,0,0,des_start_0
12,0,0,0,des_start_0
1477,0,0,0,des_start_0
3086,0,0,0,des_start_0
2062,0,0,0,des_start_0
4558,0,0,0,des_start_0
464,0,0,0,des_start_0
1080,0,0,0,des_start_0
3535,0,0,0,des_start_0
2511,0,0,0,des_start_0
4111,0,0,0,des_start_0
13,0,0,0,des_start_0
1478,0,0,0,des_start_0
3087,0,0,0,des_start_0
2063,0,0,0,des_start_0
4559,0,0,0,des_start_0
465,0,0,0,des_start_0
1081,0,0,0,des_start_0
3536,0,0,0,des_start_0
2512,0,0,0,des_start_0
4112,0,0,0,des_start_0
14,0,0,0,des_start_0
1479,0,0,0,des_start_0
3088,0,0,0,des_start_0
2064,0,0,0,des_start_0
4560,0,0,0,des_start_0
466,0,0,0,des_start_0
1082,0,0,0,des_start_0
3537,0,0,0,des_start_0
2513,0,0,0,des_start_0
4113,0,0,0,des_start_0
15,0,0,0,des_start_0
1484,0,0,0,des_start_0
3089,0,0,0,des_start_0
2065,0,0,0,des_start_0
4561,0,0,0,des_start_0
467,0,0,0,des_start_0
1083,0,0,0,des_start_0
3538,0,0,0,des_start_0
2514,0,0,0,des_start_0
4114,0,0,0,des_start_0
16,0,0,0,des_start_0
1485,0,0,0,des_start_0
3090,0,0,0,des_start_0
2066,0,0,0,des_start_0
4562,0,0,0,des_start_0
472,0,0,0,des_start_0
1076,0,0,0,des_start_0
3539,0,0,0,des_start_0
2515,0,0,0,des_start_0
4115,0,0,0,des_start_0
17,0,0,0,des_start_0
1486,0,0,0,des_start_0
3091,0,0,0,des_start_0
2067,0,0,0,des_start_0
4563,0,0,0,des_start_0
473,0,0,0,des_start_0
1077,0,0,0,des_start_0
3544,0,0,0,des_start_0
2520,0,0,0,des_start_0
4120,0,0,0,des_start_0
18,0,0,0,des_start_0
1487,0,0,0,des_start_0
3096,0,0,0,des_start_0
2072,0,0,0,des_start_0
4568,0,0,0,des_start_0
474,0,0,0,des_start_0
1078,0,0,0,des_start_0
3545,0,0,0,des_start_0
2521,0,0,0,des_start_0
4121,0,0,0,des_start_0
19,0,0,0,des_start_0
1488,0,0,0,des_start_0
3097,0,0,0,des_start_0
2073,0,0,0,des_start_0
4569,0,0,0,des_start_0
475,0,0,0,des_start_0
1079,0,0,0,des_start_0
3546,0,0,0,des_start_0
2522,0,0,0,des_start_0
4122,0,0,0,des_start_0
24,0,0,0,des_start_0
1489,0,0,0,des_start_0
3098,0,0,0,des_start_0
2074,0,0,0,des_start_0
4570,0,0,0,des_start_0
468,0,0,0,des_start_0
1084,0,0,0,des_start_0
3547,0,0,0,des_start_0
2523,0,0,0,des_start_0
4123,0,0,0,des_start_0
25,0,0,0,des_start_0
1490,0,0,0,des_start_0
3099,0,0,0,des_start_0
2075,0,0,0,des_start_0
4571,0,0,0,des_start_0
469,0,0,0,des_start_0
1085,0,0,0,des_start_0
3540,0,0,0,des_start_0
2516,0,0,0,des_start_0
4116,0,0,0,des_start_0
26,0,0,0,des_start_0
1491,0,0,0,des_start_0
3092,0,0,0,des_start_0
2068,0,0,0,des_start_0
4564,0,0,0,des_start_0
470,0,0,0,des_start_0
1086,0,0,0,des_start_0
3541,0,0,0,des_start_0
2517,0,0,0,des_start_0
4117,0,0,0,des_start_0
27,0,0,0,des_start_0
1496,0,0,0,des_start_0
3093,0,0,0,des_start_0
2069,0,0,0,des_start_0
4565,0,0,0,des_start_0
471,0,0,0,des_start_0
1087,0,0,0,des_start_0
3542,0,0,0,des_start_0
2518,0,0,0,des_start_0
4118,0,0,0,des_start_0
20,0,0,0,des_start_0
1497,0,0,0,des_start_0
3094,0,0,0,des_start_0
2070,0,0,0,des_start_0
4566,0,0,0,des_start_0
476,0,0,0,des_start_0
1568,0,0,0,des_start_0
3543,0,0,0,des_start_0
2519,0,0,0,des_start_0
4119,0,0,0,des_start_0
21,0,0,0,des_start_0
1498,0,0,0,des_start_0
3095,0,0,0,des_start_0
2071,0,0,0,des_start_0
4567,0,0,0,des_start_0
477,0,0,0,des_start_0
1569,0,0,0,des_start_0
3548,0,0,0,des_start_0
2524,0,0,0,des_start_0
4124,0,0,0,des_start_0
22,0,0,0,des_start_0
1499,0,0,0,des_start_0
3100,0,0,0,des_start_0
2076,0,0,0,des_start_0
4572,0,0,0,des_start_0
478,0,0,0,des_start_0
1570,0,0,0,des_start_0
3549,0,0,0,des_start_0
2525,0,0,0,des_start_0
4125,0,0,0,des_start_0
23,0,0,0,des_start_0
1492,0,0,0,des_start_0
3101,0,0,0,des_start_0
2077,0,0,0,des_start_0
4573,0,0,0,des_start_0
479,0,0,0,des_start_0
1571,0,0,0,des_start_0
3550,0,0,0,des_start_0
2526,0,0,0,des_start_0
4126,0,0,0,des_start_0
28,0,0,0,des_start_0
1493,0,0,0,des_start_0
3102,0,0,0,des_start_0
2078,0,0,0,des_start_0
4574,0,0,0,des_start_0
480,0,0,0,des_start_0
1576,0,0,0,des_start_0
3551,0,0,0,des_start_0
2527,0,0,0,des_start_0
4127,0,0,0,des_start_0
29,0,0,0,des_start_0
1494,0,0,0,des_start_0
3103,0,0,0,des_start_0
2079,0,0,0,des_start_0
4575,0,0,0,des_start_0
481,0,0,0,des_start_0
1577,0,0,0,des_start_0
3552,0,0,0,des_start_0
2528,0,0,0,des_start_0
4128,0,0,0,des_start_0
30,0,0,0,des_start_0
1495,0,0,0,des_start_0
3104,0,0,0,des_start_0
2080,0,0,0,des_start_0
4672,0,0,0,des_start_0
482,0,0,0,des_start_0
1578,0,0,0,des_start_0
3553,0,0,0,des_start_0
2529,0,0,0,des_start_0
4129,0,0,0,des_start_0
31,0,0,0,des_start_0
