x,y,z,time,label
-1,-1,-1,0,start_des_0
608,0,0,0,des_start_0
1920,0,0,0,des_start_0
384,0,0,0,des_start_0
2432,0,0,0,des_start_0
1408,0,0,0,des_start_0
609,0,0,0,des_start_0
1921,0,0,0,des_start_0
64,0,0,0,des_start_0
2433,0,0,0,des_start_0
1409,0,0,0,des_start_0
610,0,0,0,des_start_0
1600,0,0,0,des_start_0
385,0,0,0,des_start_0
2144,0,0,0,des_start_0
1088,0,0,0,des_start_0
611,0,0,0,des_start_0
1922,0,0,0,des_start_0
65,0,0,0,des_start_0
2434,0,0,0,des_start_0
1410,0,0,0,des_start_0
616,0,0,0,des_start_0
1601,0,0,0,des_start_0
386,0,0,0,des_start_0
2145,0,0,0,des_start_0
1089,0,0,0,des_start_0
617,0,0,0,des_start_0
1923,0,0,0,des_start_0
66,0,0,0,des_start_0
2435,0,0,0,des_start_0
1411,0,0,0,des_start_0
618,0,0,0,des_start_0
1602,0,0,0,des_start_0
387,0,0,0,des_start_0
2146,0,0,0,des_start_0
1090,0,0,0,des_start_0
619,0,0,0,des_start_0
1928,0,0,0,des_start_0
67,0,0,0,des_start_0
2440,0,0,0,des_start_0
1416,0,0,0,des_start_0
612,0,0,0,des_start_0
1603,0,0,0,des_start_0
392,0,0,0,des_start_0
2147,0,0,0,des_start_0
1091,0,0,0,des_start_0
613,0,0,0,des_start_0
1929,0,0,0,des_start_0
72,0,0,0,des_start_0
2441,0,0,0,des_start_0
1417,0,0,0,des_start_0
614,0,0,0,des_start_0
1608,0,0,0,des_start_0
393,0,0,0,des_start_0
2152,0,0,0,des_start_0
1096,0,0,0,des_start_0
615,0,0,0,des_start_0
1930,0,0,0,des_start_0
73,0,0,0,des_start_0
2442,0,0,0,des_start_0
1418,0,0,0,des_start_0
620,0,0,0,des_start_0
1609,0,0,0,des_start_0
394,0,0,0,des_start_0
2153,0,0,0,des_start_0
1097,0,0,0,des_start_0
621,0,0,0,des_start_0
1931,0,0,0,des_start_0
74,0,0,0,des_start_0
2443,0,0,0,des_start_0
1419,0,0,0,des_start_0
896,0,0,0,des_start_0
1610,0,0,0,des_start_0
395,0,0,0,des_start_0
2154,0,0,0,des_start_0
1098,0,0,0,des_start_0
622,0,0,0,des_start_0
1924,0,0,0,des_start_0
75,0,0,0,des_start_0
2436,0,0,0,des_start_0
1412,0,0,0,des_start_0
897,0,0,0,des_start_0
1611,0,0,0,des_start_0
388,0,0,0,des_start_0
2155,0,0,0,des_start_0
1099,0,0,0,des_start_0
623,0,0,0,des_start_0
1925,0,0,0,des_start_0
68,0,0,0,des_start_0
2437,0,0,0,des_start_0
1413,0,0,0,des_start_0
898,0,0,0,des_start_0
1604,0,0,0,des_start_0
389,0,0,0,des_start_0
2148,0,0,0,des_start_0
1092,0,0,0,des_start_0
624,0,0,0,des_start_0
1926,0,0,0,des_start_0
69,0,0,0,des_start_0
2438,0,0,0,des_start_0
1414,0,0,0,des_start_0
899,0,0,0,des_start_0
1605,0,0,0,des_start_0
390,0,0,0,des_start_0
2149,0,0,0,des_start_0
1093,0,0,0,des_start_0
625,0,0,0,des_start_0
1927,0,0,0,des_start_0
70,0,0,0,des_start_0
2439,0,0,0,des_start_0
1415,0,0,0,des_start_0
904,0,0,0,des_start_0
1606,0,0,0,des_start_0
391,0,0,0,des_start_0
2150,0,0,0,des_start_0
1094,0,0,0,des_start_0
626,0,0,0,des_start_0
